age,Occupation,Marital_Status,Education_Level,default,Balance,Housing_Loan,Personal_Loan,contact,day,Month,duration,campaign,pdays,previous,Prev_Outcome,Subscribed,conversion_status,age_segment,duration_min
59,Admin ,Married,Secondary,No,2343,Yes,No,Not Specified,5,May,1042,1,-1,0,Not Specified,yes,1,41-60,17.37
56,Admin ,Married,Secondary,No,45,No,No,Not Specified,5,May,1467,1,-1,0,Not Specified,yes,1,41-60,24.45
41,Technician,Married,Secondary,No,1270,Yes,No,Not Specified,5,May,1389,1,-1,0,Not Specified,yes,1,41-60,23.15
55,Services,Married,Secondary,No,2476,Yes,No,Not Specified,5,May,579,1,-1,0,Not Specified,yes,1,41-60,9.65
54,Admin ,Married,Tertiary,No,184,No,No,Not Specified,5,May,673,2,-1,0,Not Specified,yes,1,41-60,11.22
42,Management,Single,Tertiary,No,0,Yes,Yes,Not Specified,5,May,562,2,-1,0,Not Specified,yes,1,41-60,9.37
56,Management,Married,Tertiary,No,830,Yes,Yes,Not Specified,6,May,1201,1,-1,0,Not Specified,yes,1,41-60,20.02
60,Retired,Divorced,Secondary,No,545,Yes,No,Not Specified,6,May,1030,1,-1,0,Not Specified,yes,1,41-60,17.17
37,Technician,Married,Secondary,No,1,Yes,No,Not Specified,6,May,608,1,-1,0,Not Specified,yes,1,26-40,10.13
28,Services,Single,Secondary,No,5090,Yes,No,Not Specified,6,May,1297,3,-1,0,Not Specified,yes,1,26-40,21.62
38,Admin ,Single,Secondary,No,100,Yes,No,Not Specified,7,May,786,1,-1,0,Not Specified,yes,1,26-40,13.1
30,Blue-Collar,Married,Secondary,No,309,Yes,No,Not Specified,7,May,1574,2,-1,0,Not Specified,yes,1,26-40,26.23
29,Management,Married,Tertiary,No,199,Yes,Yes,Not Specified,7,May,1689,4,-1,0,Not Specified,yes,1,26-40,28.15
46,Blue-Collar,Single,Tertiary,No,460,Yes,No,Not Specified,7,May,1102,2,-1,0,Not Specified,yes,1,41-60,18.37
31,Technician,Single,Tertiary,No,703,Yes,No,Not Specified,8,May,943,2,-1,0,Not Specified,yes,1,26-40,15.72
